;stop_id;stop_name;lon;lat;count;geometry;color
0;7;Дербеневская наб.;37.6551636;55.72566817;71;POINT (37.6551636 55.72566817);blue
1;11;Наб. Тараса Шевченко;37.57240854;55.74944352;100;POINT (37.57240854 55.74944352);green
2;12;Наб. Тараса Шевченко;37.57271647;55.74976112;98;POINT (37.57271647 55.74976112);blue
3;27;ВКНЦ;37.37550932;55.7572642;169;POINT (37.37550932 55.7572642);green
4;40;Ул. 800-летия Москвы;37.54599654;55.87767168;293;POINT (37.54599654 55.87767168);yellow
5;41;Бескудниково;37.54704248;55.87458982;293;POINT (37.54704248 55.87458982);yellow
6;42;Селигерская ул.;37.54674812;55.86919544;435;POINT (37.54674812 55.86919544);pink
7;43;Парк Святослава Федорова;37.5484894912;55.8633348164;265;POINT (37.5484894912 55.8633348164);yellow
8;44;Ильменский пр.;37.55318989;55.86077256;265;POINT (37.55318989 55.86077256);yellow
9;45;Метро «Верхние Лихоборы» - Северный вестибюль;37.5582614716;55.8582121735;265;POINT (37.5582614716 55.8582121735);yellow
10;47;Нижн. Лихоборы;37.5673105;55.84733792;76;POINT (37.5673105 55.84733792);blue
11;48;Метро «Петровско-Разумовская»;37.57585651;55.83716907;439;POINT (37.57585651 55.83716907);pink
12;49;Михалковская ул.;37.53956854;55.8371443498;626;POINT (37.53956854 55.8371443498);red
13;50;Стадион «Наука»;37.5328525;55.83295208;433;POINT (37.5328525 55.83295208);pink
14;51;Управа района Коптево;37.52242762;55.82411549;205;POINT (37.52242762 55.82411549);yellow
15;52;К/т «Рассвет»;37.51887274;55.82307265;205;POINT (37.51887274 55.82307265);yellow
16;53;3-й Новоподмосковный пер.;37.51071983;55.82087948;205;POINT (37.51071983 55.82087948);yellow
17;54;3-й Новоподмосковный пер.;37.51203859;55.8210445;201;POINT (37.51203859 55.8210445);yellow
18;55;К/т «Рассвет»;37.51687828;55.82237098;201;POINT (37.51687828 55.82237098);yellow
19;56;Управа района Коптево;37.5231852;55.82399093;201;POINT (37.5231852 55.82399093);yellow
20;57;Стадион «Наука»;37.53338601;55.83304516;444;POINT (37.53338601 55.83304516);pink
21;61;7-й автобусный парк;37.56524413;55.85199725;373;POINT (37.56524413 55.85199725);orange
22;62;Метро «Верхние Лихоборы» - Северный вестибюль;37.55947707;55.8580184;266;POINT (37.55947707 55.8580184);yellow
23;63;Ильменский пр.;37.5540423035;55.8609062765;266;POINT (37.5540423035 55.8609062765);yellow
24;64;Парк Святослава Федорова;37.54918648;55.86376719;94;POINT (37.54918648 55.86376719);blue
25;65;Селигерская ул.;37.54748211;55.86854848;529;POINT (37.54748211 55.86854848);red
26;66;Бескудниково;37.54811496;55.87427208;293;POINT (37.54811496 55.87427208);yellow
27;73;Платф. Грачёвская;37.51160056;55.86956661;538;POINT (37.51160056 55.86956661);red
28;74;Весенняя ул.;37.51459808;55.87376954;335;POINT (37.51459808 55.87376954);orange
29;75;Мкр. Западное Дегунино;37.5174212;55.87606574;335;POINT (37.5174212 55.87606574);orange
30;76;Ангарская ул.;37.52218296;55.87921929;427;POINT (37.52218296 55.87921929);pink
31;77;Колледж № 7;37.52067236;55.88456731;72;POINT (37.52067236 55.88456731);blue
32;78;Ин-т Микрохирургии глаза;37.53738746;55.86877206;332;POINT (37.53738746 55.86877206);orange
33;79;Селигерская ул.;37.54237868;55.86639614;150;POINT (37.54237868 55.86639614);green
34;80;К/т «Комсомолец»;37.57003659;55.84090834;178;POINT (37.57003659 55.84090834);green
35;81;Педагогический колледж;37.55258978;55.84190084;396;POINT (37.55258978 55.84190084);orange
36;82;Университет Природообустройства;37.54470218;55.83894722;433;POINT (37.54470218 55.83894722);pink
37;83;Роддом № 27;37.53038275;55.8289194;579;POINT (37.53038275 55.8289194);red
38;84;Роддом № 27;37.53085818;55.82911305;602;POINT (37.53085818 55.82911305);red
39;85;Университет Природообустройства;37.54499163;55.83864991;397;POINT (37.54499163 55.83864991);orange
40;86;Педагогический колледж;37.5546848;55.84225467;397;POINT (37.5546848 55.84225467);orange
41;87;Метро «Петровско-Разумовская»;37.5755751;55.83730911;23;POINT (37.5755751 55.83730911);blue
42;91;Метро «Селигерская»;37.54477895;55.86556347;331;POINT (37.54477895 55.86556347);orange
43;92;Селигерская ул.;37.54054356;55.86754868;331;POINT (37.54054356 55.86754868);orange
44;93;Ин-т Микрохирургии глаза;37.53539092;55.86998419;331;POINT (37.53539092 55.86998419);orange
45;94;Колледж № 7;37.51853547;55.88351247;70;POINT (37.51853547 55.88351247);blue
46;95;Ангарская ул.;37.5202723;55.87759056;330;POINT (37.5202723 55.87759056);orange
47;96;Мкр. Западное Дегунино;37.51697285;55.87600214;330;POINT (37.51697285 55.87600214);orange
48;97;Весенняя ул.;37.51498184;55.87432548;330;POINT (37.51498184 55.87432548);orange
49;98;Платф. Грачёвская;37.51078637;55.86998315;535;POINT (37.51078637 55.86998315);red
50;99;Онкологический диспансер;37.50259018;55.82324046;191;POINT (37.50259018 55.82324046);green
51;100;Старопетровский пр.;37.50872434;55.82466889;191;POINT (37.50872434 55.82466889);green
52;107;Онежская ул. - Колледж;37.52181196;55.84540799;338;POINT (37.52181196 55.84540799);orange
53;108;3-й Лихачевский пер.;37.52077371;55.84940542;338;POINT (37.52077371 55.84940542);orange
54;109;Онежская ул., 19;37.5192826;55.85217697;338;POINT (37.5192826 55.85217697);orange
55;111;Флотская ул.;37.508804660376;55.8595968610101;114;POINT (37.508804660376 55.8595968610101);green
56;112;Фестивальная ул.;37.50413371;55.86302215;46;POINT (37.50413371 55.86302215);blue
57;113;М-н Книги;37.5002661697;55.8647419791;46;POINT (37.5002661697 55.8647419791);blue
58;114;Аптека;37.49690351;55.86590354;46;POINT (37.49690351 55.86590354);blue
59;115;Петрозаводская ул.;37.49047802;55.86710975;114;POINT (37.49047802 55.86710975);green
60;116;15-й таксомоторный парк;37.4835904385;55.8670126721;114;POINT (37.4835904385 55.8670126721);green
61;117;Метро «Беломорская»;37.47707357;55.86531154;369;POINT (37.47707357 55.86531154);orange
62;118;Смольная ул., 45;37.47967752;55.86286328;369;POINT (37.47967752 55.86286328);orange
63;119;Школа им. Марш. Говорова;37.48169028;55.86114044;369;POINT (37.48169028 55.86114044);orange
64;120;Смольная ул.;37.48466984;55.8581037;830;POINT (37.48466984 55.8581037);red
65;121;Автокомбинат № 3;37.56315646;55.84366117;248;POINT (37.56315646 55.84366117);yellow
66;122;Учебный центр;37.52245028;55.88566944;72;POINT (37.52245028 55.88566944);blue
67;126;Ангарская ул.;37.52317839;55.87781596;384;POINT (37.52317839 55.87781596);orange
68;127;Протезный з-д;37.52851198;55.87373993;354;POINT (37.52851198 55.87373993);orange
69;128;Талдомская ул.;37.5259288;55.87563883;391;POINT (37.5259288 55.87563883);orange
70;133;Учебный центр;37.52142869;55.88537864;70;POINT (37.52142869 55.88537864);blue
71;134;Школа им. Марш. Говорова;37.48215583;55.86106097;354;POINT (37.48215583 55.86106097);orange
72;135;Смольная ул., 45;37.48021163;55.86265788;354;POINT (37.48021163 55.86265788);orange
73;136;15-й таксомоторный парк;37.48607811;55.86682693;114;POINT (37.48607811 55.86682693);green
74;137;Петрозаводская ул.;37.49280228;55.86659387;45;POINT (37.49280228 55.86659387);blue
75;138;Аптека;37.49827389;55.86519568;45;POINT (37.49827389 55.86519568);blue
76;139;М-н Книги;37.50217988;55.86378554;45;POINT (37.50217988 55.86378554);blue
77;140;Фестивальная ул.;37.50594619;55.86137424;114;POINT (37.50594619 55.86137424);green
78;141;Флотская ул.;37.50941753;55.85883776;114;POINT (37.50941753 55.85883776);green
79;143;Онежская ул., 19;37.51918742;55.85154723;256;POINT (37.51918742 55.85154723);yellow
80;144;Онежская ул. - Колледж;37.52157813;55.84409988;256;POINT (37.52157813 55.84409988);yellow
81;151;Старопетровский пр.;37.50758103;55.82460143;183;POINT (37.50758103 55.82460143);green
82;152;Онкологический диспансер;37.50344704;55.82364048;183;POINT (37.50344704 55.82364048);green
83;154;Коровинское ш.;37.51857144;55.88231105;415;POINT (37.51857144 55.88231105);pink
84;155;Талдомская ул.;37.52852678;55.8751219;52;POINT (37.52852678 55.8751219);blue
85;156;Ин-т Микрохирургии глаза;37.53908121;55.87320802;288;POINT (37.53908121 55.87320802);yellow
86;157;Муз. школа;37.5438328;55.87348434;288;POINT (37.5438328 55.87348434);yellow
87;158;Аптека;37.5524069;55.87321427;52;POINT (37.5524069 55.87321427);blue
88;159;Школа № 656;37.554861;55.87114913;52;POINT (37.554861 55.87114913);blue
89;160;Рогачевский пер.;37.55767154;55.86750227;52;POINT (37.55767154 55.86750227);blue
90;161;Бескудниковский пер.;37.56080902;55.86350936;52;POINT (37.56080902 55.86350936);blue
91;162;Торговый центр;37.5619061;55.86192215;162;POINT (37.5619061 55.86192215);green
92;163;Роддом № 27;37.52868045;55.83113889;47;POINT (37.52868045 55.83113889);blue
93;164;Коптевский рынок;37.52185322;55.83295193;47;POINT (37.52185322 55.83295193);blue
94;165;Коптевская ул.;37.51809726;55.82930661;183;POINT (37.51809726 55.82930661);green
95;166;Коптевская ул.;37.51910841;55.83087861;191;POINT (37.51910841 55.83087861);green
96;167;Коптевский рынок;37.52114845;55.83208078;52;POINT (37.52114845 55.83208078);blue
97;168;Роддом № 27;37.52758635;55.83028842;52;POINT (37.52758635 55.83028842);blue
98;169;Метро «Петровско-Разумовская»;37.57571844;55.8372403;198;POINT (37.57571844 55.8372403);green
99;170;К/т «Комсомолец»;37.57029254;55.84221842;279;POINT (37.57029254 55.84221842);yellow
100;171;Нижн. Лихоборы;37.56848803;55.84699926;279;POINT (37.56848803 55.84699926);yellow
101;172;7-й автобусный парк;37.5655145;55.85171839;110;POINT (37.5655145 55.85171839);green
102;173;Торговый центр;37.5616735836;55.8628546051;60;POINT (37.5616735836 55.8628546051);blue
103;174;Бескудниковский пер.;37.56012464;55.86490713;60;POINT (37.56012464 55.86490713);blue
104;175;Рогачевский пер.;37.55664809;55.86932066;60;POINT (37.55664809 55.86932066);blue
105;176;Школа № 656;37.55392499;55.8726825;60;POINT (37.55392499 55.8726825);blue
106;177;Аптека;37.5508956;55.87378923;60;POINT (37.5508956 55.87378923);blue
107;178;Бескудниково;37.5464019242;55.873837739;296;POINT (37.5464019242 55.873837739);yellow
108;179;Муз. школа;37.54269997;55.87363021;296;POINT (37.54269997 55.87363021);yellow
109;180;Ин-т Микрохирургии глаза;37.53715086;55.87348554;296;POINT (37.53715086 55.87348554);yellow
110;181;Коровинское ш.;37.51779428;55.88348784;293;POINT (37.51779428 55.88348784);yellow
111;182;Кронштадтский бульв.;37.49676253;55.84295524;302;POINT (37.49676253 55.84295524);orange
112;183;Гимназия № 1583;37.50020429;55.84380494;256;POINT (37.50020429 55.84380494);yellow
113;191;Кадетский корпус полиции;37.54363761;55.84249732;37;POINT (37.54363761 55.84249732);blue
114;193;Митинская ул., 48;37.35496588;55.84954574;73;POINT (37.35496588 55.84954574);blue
115;194;4-й Новомихалковский пр. - Поликлиника № 159;37.54506468;55.84075235;47;POINT (37.54506468 55.84075235);blue
116;195;Кадетский корпус полиции;37.54341964;55.84320609;47;POINT (37.54341964 55.84320609);blue
117;200;3-й Лихачевский пер.;37.52091766;55.84831504;256;POINT (37.52091766 55.84831504);yellow
118;203;Гимназия № 1583;37.49912551;55.84370335;383;POINT (37.49912551 55.84370335);orange
119;204;Кронштадтский бульв.;37.49584482;55.84289574;383;POINT (37.49584482 55.84289574);orange
120;206;Ул. Дыбенко, 6;37.48465472;55.86851809;148;POINT (37.48465472 55.86851809);green
121;208;Интернат;37.46855178;55.87346894;369;POINT (37.46855178 55.87346894);orange
122;209;11-й автобусный парк - Киностудия;37.47087508;55.87122038;369;POINT (37.47087508 55.87122038);orange
123;210;Смольная ул., 61;37.47291097;55.86924721;369;POINT (37.47291097 55.86924721);orange
124;211;Метро «Беломорская»;37.47593628;55.86632944;369;POINT (37.47593628 55.86632944);orange
125;212;Смольная ул.;37.48635788;55.85832994;401;POINT (37.48635788 55.85832994);pink
126;213;Фестивальная ул., 14;37.49617308;55.86018085;299;POINT (37.49617308 55.86018085);yellow
127;214;Фестивальная ул., 65;37.50113583;55.8609953;299;POINT (37.50113583 55.8609953);yellow
128;216;Фестивальная ул.;37.50360878;55.86189364;73;POINT (37.50360878 55.86189364);blue
129;217;Фестивальная ул., 14;37.49502105;55.86023665;73;POINT (37.49502105 55.86023665);blue
130;218;Метро «Беломорская»;37.47572273;55.86691808;354;POINT (37.47572273 55.86691808);orange
131;219;Смольная ул., 61;37.47250317;55.87006376;354;POINT (37.47250317 55.87006376);orange
132;220;11-й автобусный парк - Киностудия;37.47042618;55.87205598;354;POINT (37.47042618 55.87205598);orange
133;222;Фестивальная ул.;37.50674921;55.86280819;367;POINT (37.50674921 55.86280819);orange
134;225;Зеленоградская ул., 21;37.4973747726;55.873851468;253;POINT (37.4973747726 55.873851468);yellow
135;226;Почта;37.49362797;55.8755477;253;POINT (37.49362797 55.8755477);yellow
136;227;Зеленоградская ул., 39;37.4892187714;55.8773550191;253;POINT (37.4892187714 55.8773550191);yellow
137;228;Зеленоградская ул., 39;37.4898772949;55.8768615866;28;POINT (37.4898772949 55.8768615866);blue
138;229;Почта;37.49462501;55.87495346;28;POINT (37.49462501 55.87495346);blue
139;230;Зеленоградская ул., 21;37.4983597251;55.8729727395;28;POINT (37.4983597251 55.8729727395);blue
140;232;Б-ца - Библиотека им. Короленко;37.50768663;55.8636384;142;POINT (37.50768663 55.8636384);green
141;233;Фестивальная ул., 65;37.49975463;55.86101472;73;POINT (37.49975463 55.86101472);blue
142;242;2-й Балтийский пер.;37.52396967;55.80644299;96;POINT (37.52396967 55.80644299);blue
143;243;Ленинградский рынок - К/т «Баку»;37.52821794;55.80531741;96;POINT (37.52821794 55.80531741);blue
144;246;Петровско-Разумовская ал.;37.55895913;55.79487824;750;POINT (37.55895913 55.79487824);red
145;249;Ленинградский рынок - К/т «Баку»;37.52945405;55.80877473;96;POINT (37.52945405 55.80877473);blue
146;250;Российская открытая академия транспорта;37.52573767;55.80972867;96;POINT (37.52573767 55.80972867);blue
147;251;1-й Балтийский пер.;37.5202407;55.81113993;96;POINT (37.5202407 55.81113993);blue
148;260;Пулковская ул.;37.48944038;55.84632385;114;POINT (37.48944038 55.84632385);green
149;261;Флотская ул., 36;37.49234418;55.85079102;114;POINT (37.49234418 55.85079102);green
150;262;Поликлиника;37.50108072;55.85399188;114;POINT (37.50108072 55.85399188);green
151;263;Школа № 648;37.50383408;55.8549718;114;POINT (37.50383408 55.8549718);green
152;264;Флотская ул.;37.50949264;55.85700257;114;POINT (37.50949264 55.85700257);green
153;269;Флотская ул.;37.50859495;55.85691524;114;POINT (37.50859495 55.85691524);green
154;270;Поликлиника;37.50178932;55.85446122;114;POINT (37.50178932 55.85446122);green
155;271;Смольная ул.;37.49462719;55.85184812;159;POINT (37.49462719 55.85184812);green
156;272;Пулковская ул.;37.48979253;55.84540275;114;POINT (37.48979253 55.84540275);green
157;273;Ин-т «Цветметавтоматика»;37.5624216962;55.8589115909;162;POINT (37.5624216962 55.8589115909);green
158;274;Метро «Верхние Лихоборы» - Северный вестибюль;37.56240004;55.85736801;60;POINT (37.56240004 55.85736801);blue
159;275;Нарвская ул. - Университет Гражданской Авиации;37.5031925;55.84459084;256;POINT (37.5031925 55.84459084);yellow
160;276;Акад. Туризма;37.51280334;55.85174733;256;POINT (37.51280334 55.85174733);yellow
161;277;Лихоборская наб.;37.5160769692;55.852666487;256;POINT (37.5160769692 55.852666487);yellow
162;280;Лихоборская наб.;37.5151294985;55.8525973596;338;POINT (37.5151294985 55.8525973596);orange
163;281;Акад. Туризма;37.51095173;55.85131969;338;POINT (37.51095173 55.85131969);orange
164;282;Нарвская ул. - Университет Гражданской Авиации;37.50317031;55.8447254;338;POINT (37.50317031 55.8447254);orange
165;283;Пр. Черепановых;37.5266201841;55.8396100803;120;POINT (37.5266201841 55.8396100803);green
166;284;Соболевский пр.;37.5301106;55.83867407;120;POINT (37.5301106 55.83867407);green
167;285;Ул. Прянишникова;37.5406501216;55.8358742113;120;POINT (37.5406501216 55.8358742113);green
168;286;Университет Печати;37.54320731;55.83519691;120;POINT (37.54320731 55.83519691);green
169;287;Тимирязевская академия;37.54993836;55.83341524;120;POINT (37.54993836 55.83341524);green
170;288;Пасечная ул.;37.55276469;55.82979983;120;POINT (37.55276469 55.82979983);green
171;289;Парк «Дубки»;37.56230019;55.81830039;120;POINT (37.56230019 55.81830039);green
172;290;50-я гор. б-ца;37.55706274;55.81245767;552;POINT (37.55706274 55.81245767);red
173;291;Пр. Соломенной Сторожки;37.56009979;55.80729184;552;POINT (37.56009979 55.80729184);red
174;292;Дмитровский пр.;37.57133003;55.80737234;480;POINT (37.57133003 55.80737234);pink
175;293;Всероссийское Общество Слепых;37.56798446;55.80496909;360;POINT (37.56798446 55.80496909);orange
176;294;2-я Хуторская ул.;37.56363184;55.80245128;360;POINT (37.56363184 55.80245128);orange
177;300;Писцовая ул.;37.56806202;55.79828331;182;POINT (37.56806202 55.79828331);green
178;301;2-я Хуторская ул.;37.56409114;55.80233029;182;POINT (37.56409114 55.80233029);green
179;302;Всероссийское Общество Слепых;37.56935149;55.80510455;182;POINT (37.56935149 55.80510455);green
180;303;Дмитровский пр.;37.57049117;55.80882552;400;POINT (37.57049117 55.80882552);pink
181;304;50-я гор. б-ца;37.55786267;55.81167022;423;POINT (37.55786267 55.81167022);pink
182;305;Парк «Дубки»;37.56165453;55.81949598;495;POINT (37.56165453 55.81949598);pink
183;306;Красностуденческий пр.;37.55898612;55.82271493;131;POINT (37.55898612 55.82271493);green
184;307;Пасечная ул.;37.5525004;55.83051264;131;POINT (37.5525004 55.83051264);green
185;308;Тимирязевская академия;37.55004232;55.83375504;131;POINT (37.55004232 55.83375504);green
186;309;Университет Печати;37.54191519;55.83571746;131;POINT (37.54191519 55.83571746);green
187;310;Б. Академическая ул.;37.53760115;55.83686083;131;POINT (37.53760115 55.83686083);green
188;311;Пр. Черепановых;37.52668729;55.83977396;131;POINT (37.52668729 55.83977396);green
189;314;Пр. Соломенной Сторожки;37.56000307;55.80805865;423;POINT (37.56000307 55.80805865);pink
190;315;Ижорская ул.;37.5100582542;55.8887608432;366;POINT (37.5100582542 55.8887608432);orange
191;316;Бусиново;37.496070963;55.8817612874;219;POINT (37.496070963 55.8817612874);yellow
192;317;Краснополянская ул.;37.4880378105;55.8846550366;219;POINT (37.4880378105 55.8846550366);yellow
193;318;Ижорская ул., 6;37.501370277;55.8825159198;399;POINT (37.501370277 55.8825159198);orange
194;319;Ул. Марш. Федоренко;37.48590023;55.88337571;149;POINT (37.48590023 55.88337571);green
195;320;Краснополянская ул.;37.48950949;55.88501834;149;POINT (37.48950949 55.88501834);green
196;321;Ул. Бусиновская Горка;37.493061;55.88546893;149;POINT (37.493061 55.88546893);green
197;323;Ижорская ул., 6;37.50083838;55.88171538;329;POINT (37.50083838 55.88171538);orange
198;324;Рыбокомбинат;37.5048412609;55.8849515631;329;POINT (37.5048412609 55.8849515631);orange
199;325;Ижорская ул.;37.51065136;55.88870379;329;POINT (37.51065136 55.88870379);orange
200;326;15-й таксомоторный парк;37.48480428;55.86634844;361;POINT (37.48480428 55.86634844);orange
201;328;К/т «Волга»;37.5424934335;55.8885827221;293;POINT (37.5424934335 55.8885827221);yellow
202;333;Селигерская ул.;37.54670927;55.86904594;94;POINT (37.54670927 55.86904594);blue
203;337;Нижн. Лихоборы;37.56835312;55.84736639;149;POINT (37.56835312 55.84736639);green
204;340;434-е отделение связи;37.5730144028;55.8215652721;542;POINT (37.5730144028 55.8215652721);red
205;356;К/т «Комсомолец»;37.56996508;55.84105487;94;POINT (37.56996508 55.84105487);blue
206;357;Нижн. Лихоборы;37.56732208;55.84729349;401;POINT (37.56732208 55.84729349);pink
207;358;7-й автобусный парк;37.56590713;55.85030802;477;POINT (37.56590713 55.85030802);pink
208;368;Лианозовский элмех. з-д;37.54350786;55.89139449;403;POINT (37.54350786 55.89139449);pink
209;369;Дмитровское ш., 29;37.57316534;55.82945197;110;POINT (37.57316534 55.82945197);green
210;370;Ул. Марш. Федоренко;37.48677795;55.88401518;219;POINT (37.48677795 55.88401518);yellow
211;375;Пехотная ул.;37.48238529;55.81133819;649;POINT (37.48238529 55.81133819);red
212;378;Ул. Серегина;37.54485023;55.79420677;460;POINT (37.54485023 55.79420677);pink
213;379;Путевой дворец;37.54849025;55.79263254;256;POINT (37.54849025 55.79263254);yellow
214;380;Метро «Динамо» (южный вход);37.55983741;55.78758071;88;POINT (37.55983741 55.78758071);blue
215;381;Белорусский вокзал;37.57900682;55.77879349;88;POINT (37.57900682 55.77879349);blue
216;384;Метро «Динамо» (южный вход);37.5593912553207;55.7889163076806;88;POINT (37.5593912553207 55.7889163076806);blue
217;385;Путевой дворец;37.55239291;55.79195895;88;POINT (37.55239291 55.79195895);blue
218;386;Ул. Серегина;37.54602831;55.79485212;460;POINT (37.54602831 55.79485212);pink
219;387;МАДИ - Финансовый университет;37.52963278;55.80157684;460;POINT (37.52963278 55.80157684);pink
220;388;Гидропроект;37.501916;55.80797638;649;POINT (37.501916 55.80797638);red
221;389;Авиационный ин-т;37.49750362;55.80877639;649;POINT (37.49750362 55.80877639);red
222;390;Пехотная ул.;37.48249108;55.81162182;649;POINT (37.48249108 55.81162182);red
223;391;Ст. МЦД Покровское-Стрешнево;37.47760713;55.81259566;649;POINT (37.47760713 55.81259566);red
224;393;Покровское-Глебово;37.46984766;55.81533781;264;POINT (37.46984766 55.81533781);yellow
225;395;Дмитровское ш., 29;37.57256476;55.82852464;110;POINT (37.57256476 55.82852464);green
226;396;Метро «Тимирязевская»;37.5746407233;55.818464922;614;POINT (37.5746407233 55.818464922);red
227;399;К/т «Рига»;37.58436933;55.84458929;228;POINT (37.58436933 55.84458929);yellow
228;400;Главный вход Ботанического сада;37.58570115;55.84262896;228;POINT (37.58570115 55.84262896);yellow
229;401;Ботаническая ул., 33;37.58858337;55.8402493;228;POINT (37.58858337 55.8402493);yellow
230;402;Ул. Акад. Комарова;37.60107644;55.82945279;31;POINT (37.60107644 55.82945279);blue
231;403;Ул. Кашенкин Луг;37.60214656;55.82440347;31;POINT (37.60214656 55.82440347);blue
232;404;Телецентр;37.60417904;55.8213684;429;POINT (37.60417904 55.8213684);pink
233;405;Останкинский пруд;37.6124959144498;55.8213580592398;429;POINT (37.6124959144498 55.8213580592398);pink
234;406;Экскурсионный корпус телебашни;37.61738366;55.81684894;215;POINT (37.61738366 55.81684894);yellow
235;407;2-я Новоостанкинская ул.;37.61817974;55.81377029;215;POINT (37.61817974 55.81377029);yellow
236;408;Калибровская ул.;37.62109899;55.8118695;215;POINT (37.62109899 55.8118695);yellow
237;409;Звездный бульв.;37.62836544;55.8131772;30;POINT (37.62836544 55.8131772);blue
238;410;6-й Новоостанкинский пр.;37.63212149;55.81555838;30;POINT (37.63212149 55.81555838);blue
239;411;Ул. Цандера;37.6306705;55.81782669;30;POINT (37.6306705 55.81782669);blue
240;412;Ул. Кондратюка;37.6332174;55.81891731;30;POINT (37.6332174 55.81891731);blue
241;414;Ул. Акад. Королева;37.61655979;55.8208519;215;POINT (37.61655979 55.8208519);yellow
242;417;Метро «Алексеевская»;37.6369606;55.80911616;184;POINT (37.6369606 55.80911616);green
243;418;Новоалексеевская ул.;37.63619726;55.80497185;185;POINT (37.63619726 55.80497185);green
244;421;Новоалексеевская ул.;37.63705024;55.80523391;180;POINT (37.63705024 55.80523391);green
245;422;Метро «Алексеевская»;37.63778119;55.80921754;292;POINT (37.63778119 55.80921754);yellow
246;423;Староалексеевская ул.;37.63791977;55.81102634;292;POINT (37.63791977 55.81102634);yellow
247;428;Ул. Цандера;37.63044273;55.81805839;31;POINT (37.63044273 55.81805839);blue
248;429;Звездный бульв.;37.62537543;55.81365254;31;POINT (37.62537543 55.81365254);blue
249;430;Калибровская ул.;37.6207442838679;55.8128753495232;216;POINT (37.6207442838679 55.8128753495232);yellow
250;431;2-я Новоостанкинская ул.;37.61829629;55.81449523;31;POINT (37.61829629 55.81449523);blue
251;432;Экскурсионный корпус телебашни;37.6175586;55.81747325;31;POINT (37.6175586 55.81747325);blue
252;433;Ул. Акад. Королева;37.6159211;55.82169934;411;POINT (37.6159211 55.82169934);pink
253;434;Останкинский пруд;37.61176015;55.82175066;417;POINT (37.61176015 55.82175066);pink
254;435;Телецентр;37.6045616010601;55.821768006157;417;POINT (37.6045616010601 55.821768006157);pink
255;436;Ул. Кашенкин Луг;37.60226796;55.82540749;42;POINT (37.60226796 55.82540749);blue
256;437;Ул. Акад. Комарова;37.60091971;55.83057072;229;POINT (37.60091971 55.83057072);yellow
257;438;6-й Новоостанкинский пр.;37.62955712;55.81531701;31;POINT (37.62955712 55.81531701);blue
258;439;Гост. «Останкино»;37.59582389;55.83328234;229;POINT (37.59582389 55.83328234);yellow
259;440;Ботаническая ул., 33;37.58931158;55.83973132;229;POINT (37.58931158 55.83973132);yellow
260;441;Главный вход Ботанического сада;37.58667168;55.84383853;229;POINT (37.58667168 55.84383853);yellow
261;458;Гидропроект;37.50777509;55.80633514;649;POINT (37.50777509 55.80633514);red
262;459;Пищевой ин-т;37.49955887;55.80789141;649;POINT (37.49955887 55.80789141);red
263;472;Талдомская ул.;37.52718211;55.87431805;353;POINT (37.52718211 55.87431805);orange
264;474;Ул. Марш. Федоренко, 2;37.4932742244;55.8792672896;180;POINT (37.4932742244 55.8792672896);green
265;475;Универсам;37.4900247832;55.8807692539;180;POINT (37.4900247832 55.8807692539);green
266;476;Универсам;37.49035409;55.88030592;180;POINT (37.49035409 55.88030592);green
267;477;Ул. Марш. Федоренко, 2;37.49303071;55.87908674;180;POINT (37.49303071 55.87908674);green
268;478;Бусиново;37.49698687;55.88144854;180;POINT (37.49698687 55.88144854);green
269;482;Новодевичье кладб.;37.556850629;55.7241935088;100;POINT (37.556850629 55.7241935088);green
270;483;Абрикосовский пер.;37.56651048;55.72973922;100;POINT (37.56651048 55.72973922);green
271;510;Трубецкая ул.;37.56948498;55.73128969;132;POINT (37.56948498 55.73128969);green
272;511;Абрикосовский пер.;37.56416751;55.72896076;132;POINT (37.56416751 55.72896076);green
273;512;Новодевичье кладб.;37.55592289;55.72358305;132;POINT (37.55592289 55.72358305);green
274;518;Ст. МЦД Окружная;37.57612496;55.8478689;55;POINT (37.57612496 55.8478689);blue
275;519;Ин-т Стройфизики;37.57426183;55.84433844;55;POINT (37.57426183 55.84433844);blue
276;522;Красностуденческий пр.;37.55848199;55.82290416;120;POINT (37.55848199 55.82290416);green
277;523;Тимирязевская ул., 30;37.5606587218;55.8202896915;120;POINT (37.5606587218 55.8202896915);green
278;525;Театр «Золотое кольцо»;37.5684116691;55.8108765768;480;POINT (37.5684116691 55.8108765768);pink
279;526;Плодоовощная база;37.51516239;55.88564426;291;POINT (37.51516239 55.88564426);yellow
280;527;Плодоовощная база;37.51491677;55.8862894;293;POINT (37.51491677 55.8862894);yellow
281;529;Ул. Берзарина, 32;37.47316811;55.78886456;150;POINT (37.47316811 55.78886456);green
282;530;Ин-т Приборостроения;37.48240018;55.79117184;150;POINT (37.48240018 55.79117184);green
283;531;Управа района Щукино;37.4833339;55.79480318;150;POINT (37.4833339 55.79480318);green
284;532;Поликлиника;37.4844579;55.79772467;150;POINT (37.4844579 55.79772467);green
285;533;Поликлиника;37.48397939;55.79786336;150;POINT (37.48397939 55.79786336);green
286;534;Управа района Щукино;37.48308279;55.79458376;150;POINT (37.48308279 55.79458376);green
287;535;Ин-т Приборостроения;37.48178342;55.79096481;150;POINT (37.48178342 55.79096481);green
288;536;Ул. Берзарина, 32;37.4721979978;55.7891184452;150;POINT (37.4721979978 55.7891184452);green
